feature1,feature2,label
-3.060411,-4.231995,0
-1.146684,-0.931047,0
-1.947974,-2.261019,0
-0.416318,-1.288132,0
-2.655866,-1.268467,0
-3.243292,-2.558968,0
-3.051130,-4.200017,0
-3.177293,-0.777672,0
-3.097822,-2.550032,0
-3.160974,-1.134393,0
-1.998803,-1.509255,0
-2.105687,-3.171027,0
-2.973943,-1.162734,0
-2.057407,-1.225598,0
-5.162596,-0.889891,0
-2.493967,0.172857,0
-2.510755,-1.971731,0
-1.339622,-2.875795,0
-1.127262,-2.645216,0
-0.710897,-1.206794,0
-1.504363,-2.724194,0
-2.210571,-1.700088,0
-4.033343,-2.551749,0
-1.061926,-3.268181,0
-0.721022,-2.628315,0
-1.676743,-3.147664,0
-1.515622,-1.537272,0
-0.863626,-0.645930,0
-0.746476,-1.791081,0
-3.226164,-0.676235,0
-3.304135,-2.438710,0
-1.262891,-1.556442,0
-0.406935,-2.004053,0
-3.690069,-2.275258,0
-1.825940,-2.350609,0
-0.587546,-2.247613,0
-3.435847,-1.533211,0
-3.147685,-0.300108,0
-1.729906,-3.403284,0
-0.920608,0.369247,0
-4.004056,-1.096926,0
-1.515972,-1.824320,0
-1.656672,-1.508114,0
-2.693005,-0.589010,0
-3.349524,-0.041437,0
-0.472313,-3.186135,0
-2.005400,-0.580141,0
-2.490994,-2.162409,0
-2.402377,-0.832527,0
-2.607683,-2.009826,0
-1.459785,-2.207602,0
-2.866432,-3.341549,0
-3.518256,-3.179804,0
-3.720550,-2.726877,0
-1.699785,-1.945905,0
-2.826633,-3.018019,0
-2.993389,-3.387898,0
-3.235878,-1.285638,0
-3.404612,-1.982684,0
-2.618054,0.427944,0
-3.796928,-1.806699,0
-2.333751,-2.771130,0
-1.684787,-1.844415,0
-3.068905,-1.573723,0
-1.610831,-0.690530,0
-2.609971,-0.529556,0
-2.196817,-3.976012,0
-1.476904,-2.081590,0
-2.882351,-1.066760,0
-2.471628,-0.983114,0
-2.082701,-1.249678,0
-1.320522,-1.526832,0
-3.032043,-1.080287,0
-1.978238,0.002261,0
-1.521330,-1.248874,0
-2.764893,-2.406142,0
-1.903282,-3.170476,0
-3.170277,-2.108583,0
-2.077871,-1.797925,0
-0.882896,-2.400337,0
-1.319124,-2.144635,0
-2.194012,-1.742932,0
-4.067728,-1.933643,0
-2.638257,-2.929839,0
-3.886991,-2.442891,0
-3.877436,-1.129877,0
-2.239307,-3.682072,0
-2.673525,-1.245046,0
-2.594883,-2.281218,0
-2.369183,-2.128276,0
-3.699767,-2.045460,0
-2.558093,0.953779,0
-2.213008,-2.455625,0
-1.011523,-2.156032,0
-1.746658,-2.874116,0
-0.444772,-2.627675,0
-1.624650,-0.867642,0
-2.304505,-2.000149,0
-1.413487,-1.317318,0
-3.090098,-1.818517,0
-2.945369,-2.745370,0
-2.648391,-0.784022,0
-0.403423,0.605453,0
-2.056550,-2.841407,0
-2.969482,-0.392519,0
-3.538378,-2.316969,0
-2.566063,-0.250005,0
-3.013344,-0.898337,0
-0.686647,-2.166770,0
-1.534505,-3.538714,0
-2.088208,-2.215027,0
-4.579583,-1.584623,0
-1.644834,-3.693376,0
-3.412276,-2.749289,0
-2.529182,-2.306366,0
-2.958124,-3.007857,0
-1.693487,-2.475248,0
-2.106801,-2.229680,0
-1.542800,-2.154275,0
-1.138461,-1.897001,0
-1.110966,-0.752918,0
-3.460475,-1.078005,0
-0.217178,-2.972529,0
-2.031871,-2.357204,0
-1.559166,-1.480008,0
-2.669296,-0.687443,0
-2.856681,-2.138319,0
-0.976408,-0.046562,0
-2.512655,-1.217705,0
-1.779958,-3.582444,0
-2.955188,-3.204771,0
-2.503317,-2.416788,0
-1.972051,-0.722306,0
-1.577524,0.653063,0
-2.243428,-1.210747,0
-1.585588,-0.493433,0
-2.378716,-1.154742,0
-0.370927,-2.720813,0
-2.074872,-1.495694,0
-2.434779,-2.875244,0
-0.167267,-2.229650,0
-0.265907,-2.508425,0
-2.207089,-1.202861,0
-2.206019,-2.898868,0
-2.719911,-1.727328,0
-2.666114,-1.911932,0
-4.257286,-2.558122,0
-2.180312,-2.512642,0
-2.993587,-2.883505,0
-1.929479,-0.512940,0
-3.398426,-2.276260,0
-1.022950,-1.665542,0
-2.093757,-2.450713,0
-1.986738,-2.101064,0
-4.186462,-2.715783,0
-3.949589,-0.708943,0
-1.177351,-2.788234,0
-1.195122,0.448647,0
-2.623076,-0.700725,0
-1.637495,-2.236699,0
-3.105911,-2.555925,0
-2.394913,-4.315776,0
-1.469538,-2.321731,0
-1.540756,-2.419227,0
0.998273,-3.657285,0
-2.933059,-1.294795,0
0.358468,-2.992419,0
-0.170785,-2.917029,0
-0.706633,-1.924605,0
0.229999,-0.218015,0
-2.647723,0.935701,0
-3.124159,-2.313621,0
-0.192097,-2.734783,0
-2.641351,-1.869370,0
-1.547513,-1.612818,0
-2.745697,-1.803106,0
-1.362575,-0.496009,0
-1.671840,-3.252979,0
-1.971583,-2.620594,0
-0.680969,-3.675422,0
-1.440267,-3.065396,0
-0.727943,-1.228838,0
-1.780669,-1.495061,0
-2.336880,-1.324223,0
-2.049627,-1.268796,0
-1.941424,-4.481191,0
-2.513658,-0.482508,0
-0.547460,-1.895451,0
-2.126034,-2.335248,0
-1.369439,-1.420962,0
-2.979092,-1.338350,0
-0.767103,-2.954865,0
-2.186841,-1.536435,0
-1.277247,-2.420535,0
-2.528678,-2.463885,0
-1.614767,-1.570881,0
-2.019418,-3.364224,0
-3.089987,-1.363176,0
-3.221088,-1.773643,0
-2.360798,-2.602229,0
-1.973302,-0.323648,0
