feature1,feature2,target
2.788536,-4.749892,-1.356809
4.729424,1.766995,19.126230
7.843591,-4.130612,14.835633
-5.627241,0.053553,-16.542846
-9.469281,-3.011623,-35.907732
-5.591188,0.892657,-17.017574
6.188609,-4.935012,9.759355
-3.194990,-3.445205,-19.382470
9.144261,-1.634055,24.917875
6.949887,1.037260,23.420610
6.142565,2.297318,17.782441
-2.429312,0.520406,-7.460906
6.588093,1.185198,23.829398
4.091437,-4.541756,1.186392
-5.442034,-2.106120,-19.261517
-7.979971,-2.220264,-27.680672
2.713689,-1.351678,4.497774
-4.660444,4.366546,-4.249586
2.960708,1.091310,12.601690
-6.731950,-1.205446,-19.763042
9.790467,1.399998,29.325478
6.857038,2.759999,25.026960
-5.419039,-4.678998,-26.246295
-5.780343,4.429097,-7.035571
7.527353,-1.853221,17.752020
8.290952,-0.411481,22.386730
-4.702397,-2.533725,-20.621566
1.691720,3.978229,12.444301
-2.011990,-2.806792,-9.262568
-8.181812,-4.528836,-33.640041
-7.807017,1.274460,-20.324745
-8.729446,-1.183807,-30.577841
9.922428,0.291143,34.255772
-9.770380,2.207218,-25.614455
3.634207,0.369703,11.339968
-7.768957,-0.652347,-21.764923
-0.925526,4.538159,7.411446
0.011722,-3.213481,-7.491648
8.252557,3.705186,31.312432
2.179404,-3.471607,2.318568
5.250216,0.393790,16.978119
-9.988562,-1.758439,-35.901800
-9.610465,4.290986,-17.518044
-3.849717,-4.420748,-22.997177
7.560192,4.469494,33.600804
-8.615750,2.606022,-19.452498
5.316689,-3.716085,6.021536
-4.698867,3.724330,-6.257096
-1.537241,-2.882018,-13.513762
-5.976979,-1.882837,-22.487536
9.902987,1.498781,30.472033
-7.579916,-2.753027,-27.330101
-3.238289,0.883087,-7.772900
-8.580138,1.311030,-21.718706
-5.421164,4.054200,-7.667687
-5.239907,1.689778,-12.932095
-5.715264,-3.676882,-22.108092
-0.546579,2.846194,3.026933
6.149940,-3.095901,14.000191
-1.528428,-0.329753,-4.029655
4.581517,1.733645,18.117742
-1.947574,-1.606974,-9.147100
7.233451,-2.513437,17.474183
-1.562367,-2.214549,-7.086069
-5.003871,4.232656,-10.270907
1.006506,-4.494117,-4.578147
9.985649,3.360276,41.159387
6.973915,-3.336889,13.363670
-0.287177,-2.862527,-7.151730
-2.420538,4.853088,2.849547
-4.695939,2.840706,-10.420629
9.146353,4.954227,37.932584
1.115366,2.184083,8.659242
9.374187,0.791803,31.092848
0.843904,2.479756,9.971669
0.057008,3.527199,8.156746
-6.851345,4.607789,-10.215085
1.900702,1.752126,9.824962
-5.295922,-3.801134,-22.329666
1.890383,1.193815,7.102362
-1.615502,0.836723,-7.797622
-5.914816,2.161918,-14.087168
-5.226281,-1.042142,-18.561134
-3.676456,2.518645,-7.480886
-8.549138,-0.417145,-19.821165
-8.534786,-2.868457,-31.405953
-4.695992,4.332594,-2.409578
-2.609458,-3.422532,-17.472397
6.674899,2.035399,19.584373
3.079526,-4.921769,-4.417693
6.342083,-2.006212,12.565348
-7.314178,-3.845713,-33.680050
-7.859280,0.532236,-22.894800
4.352244,-2.964027,9.827199
2.684759,-2.360161,-0.997518
6.922074,-4.077015,12.924844
-1.528485,-2.233198,-5.618108
2.742268,-2.380447,3.542418
4.824618,0.516804,15.256942
-8.495123,3.831064,-17.700876
8.078571,0.455903,26.487363
-7.038124,-3.725545,-30.844227
-3.834833,3.989815,-2.390122
7.978493,-2.899235,14.331552
-5.009405,-3.972064,-22.191278
-1.872452,1.206615,-7.282429
-6.908933,4.298810,-8.522843
6.215434,3.814162,22.163554
-9.504273,2.365645,-26.063866
6.044703,3.640640,29.435191
6.214986,-2.331943,14.203664
7.443336,3.585933,28.571483
-5.551326,3.165866,-11.976165
5.906910,-2.724045,12.693937
-9.526711,-3.068702,-36.605073
9.337782,-2.208750,27.119878
2.829635,-1.003216,8.944354
8.784743,-3.846582,18.368107
9.408012,-3.214322,23.323101
-7.831949,-0.654362,-25.170994
4.570901,-1.863227,8.106010
-2.296091,0.765880,-6.837987
-4.905550,2.087853,-5.982284
0.769040,2.194300,6.744165
4.839002,1.706285,17.428588
3.284754,-1.698000,7.032154
-3.721687,3.480153,-4.524048
-3.814307,-0.916071,-14.934922
-1.951992,-2.043448,-8.487103
8.807273,1.773179,31.466415
8.056111,1.155149,25.685551
-9.991881,-2.130863,-31.845195
-1.402237,0.799848,-3.867761
-1.156804,-2.862986,-11.044154
-0.536276,4.011808,6.762607
-8.304089,0.154520,-25.772280
2.658817,-1.648117,6.070519
3.455913,-2.753593,1.828406
-6.017401,-4.755746,-27.490120
6.994754,-4.271718,14.710522
-1.711180,1.297654,-1.481939
-0.112457,-2.560156,-2.556062
3.121160,-4.944552,-0.504843
-7.868254,-0.748538,-28.530917
-6.482266,4.579660,-10.925413
-5.016034,3.483363,-8.153663
-0.870763,3.014166,0.474379
1.909046,4.500396,9.564790
7.828519,1.126523,25.283687
6.611383,0.478720,18.464564
7.944162,2.436554,27.175940
-5.055205,1.376614,-12.166905
5.316274,0.212998,15.254147
-8.450333,-2.142718,-30.782004
-4.565698,-1.802904,-18.359895
-5.374770,1.939498,-12.517782
4.128383,-4.357711,1.578051
-1.684515,-2.931656,-9.544754
-1.597130,4.048385,0.641505
7.134641,2.655946,25.161129
-2.392379,-4.941039,-19.056330
7.068959,4.534303,32.961350
-1.619574,2.475157,-2.514458
-5.589226,-2.805784,-23.156520
-1.283280,-4.709752,-14.822811
-1.913667,-3.349553,-9.855382
-0.652197,-3.723722,-9.740361
-2.119595,0.643920,-5.395873
-9.457959,1.427496,-24.054214
-8.994307,-1.208961,-27.724709
-5.766794,-1.731542,-20.625802
5.040196,3.319243,19.811238
-4.954569,-4.180938,-20.753622
9.998157,-1.500397,27.296231
3.002882,2.812330,12.693838
8.992235,-3.006393,18.231622
-9.592400,-3.476177,-33.641453
1.279392,-2.820355,0.317851
3.989299,2.668981,18.656295
4.958513,-3.854671,9.543786
6.386023,4.647208,28.807436
-3.760855,1.773473,-7.449052
9.163457,-1.033456,25.250067
3.812288,1.272424,13.205665
-7.961974,2.724809,-16.839971
-7.578899,4.838444,-15.248481
5.652707,-1.527962,12.169336
0.119216,-1.587688,-1.980632
6.991513,3.223309,31.432613
2.711702,3.287073,17.842669
4.146173,-0.645129,10.620820
-4.598352,3.081992,-12.793444
0.763458,-0.165025,-1.018894
-4.632089,3.517132,-5.585529
6.614620,-4.133371,12.677664
-0.705831,1.103317,-0.923314
-2.420214,-4.713000,-15.935727
-5.757603,2.978324,-12.336801
-3.193223,3.803200,-2.458876
-9.796978,4.480626,-21.962935
-8.287741,2.200747,-23.822919
3.812187,1.459029,14.596258
-0.183573,2.929329,6.488443
3.835743,-1.937940,8.412686
1.631112,-0.267395,2.292434
4.918709,-1.692087,10.965403
4.057099,-2.290836,7.580680
-6.148314,-3.804453,-25.039672
0.717279,2.621896,7.949109
-0.316028,2.245850,4.825940
9.532140,0.246369,28.899643
-6.117648,-2.725168,-22.902368
-6.411169,-4.858516,-30.515429
9.485899,0.533590,29.183999
3.948348,-3.737205,5.945005
7.454395,0.740642,22.135110
-0.612061,-0.595312,-2.766448
8.821272,-0.222708,26.613514
6.442313,-0.992926,19.859426
-8.927819,-3.508024,-32.534587
1.256792,-1.961645,0.850645
5.288869,1.063177,17.954592
5.814817,-2.743129,9.791519
-1.145580,3.601667,3.457223
9.800625,-1.946198,23.521916
4.801786,4.475902,21.466425
-5.844242,-2.889748,-23.936011
-6.523729,-4.249351,-29.058694
-9.946486,-0.494963,-32.208898
-5.370475,2.069558,-12.894839
4.059751,-0.459687,9.519667
5.756561,1.250580,15.578173
3.223661,4.336685,16.108375
2.952694,4.084114,18.163141
6.532623,-4.285902,11.890446
4.979154,0.692070,17.802724
-4.227788,-3.756463,-21.362269
8.853525,0.004722,23.695095
-0.124096,-4.195581,-6.702505
-3.553568,-2.496321,-15.126107
-8.173462,4.619111,-13.936422
9.015726,4.995724,34.794064
3.445632,-2.304890,8.980899
-0.589984,1.515095,2.100719
8.321456,-3.185109,16.153771
-0.165484,-4.087576,-10.121671
-3.040779,-1.666916,-14.356064
-3.403927,1.936737,-9.801080
-4.235644,4.451935,-2.820093
-0.903482,-1.854828,-8.748954
-3.534524,4.701847,-3.181660
9.762384,1.576604,33.802248
0.851872,-0.867524,1.545000
5.128863,1.254087,19.646268
5.199811,-2.964418,5.304125
-1.237678,1.982500,-1.143154
-7.571478,4.731468,-14.397916
-6.832437,0.508390,-20.415319
1.045028,-4.067908,-0.586873
-0.771042,-3.825339,-10.178706
6.642863,-0.016245,19.399295
-4.531502,3.347239,-9.232749
9.604893,-2.562691,21.823072
8.437363,0.082409,24.854091
7.586525,3.640269,29.460021
-1.701152,4.342484,7.067042
0.154754,3.205495,6.530181
1.738754,4.989023,16.842897
-0.207193,-3.514046,-9.436105
1.038348,0.434301,3.541912
-0.893108,-1.782226,-5.080936
1.435953,-2.664376,1.844968
5.510890,-4.563527,7.301633
6.228178,-1.139212,13.281752
3.273777,3.207476,18.558284
-9.259608,0.022912,-28.014219
1.803609,3.697003,14.320696
0.519022,-0.430719,-0.835739
4.448877,-0.900214,10.893912
-0.610188,4.692036,6.596523
-3.228775,1.927046,-8.132482
7.046827,3.593422,25.168127
-2.399812,-1.833388,-11.525505
7.447660,-4.641009,9.750019
-8.631585,1.311610,-17.200106
4.935327,-0.660285,10.193623
-8.031137,1.337478,-19.910380
3.880023,4.034241,18.153887
-9.080181,2.961435,-21.839392
-7.088604,0.311663,-18.775455
1.318561,2.925195,10.196957
7.416792,1.197104,25.355426
-5.183404,4.128290,-5.909788
-4.920453,-2.446733,-17.913700
-9.812051,3.046331,-20.895536
-6.840488,-0.582702,-23.437146
-3.088688,0.875717,-8.865122
-4.998036,3.453039,-9.698507
-6.015660,-1.153068,-21.816711
1.438454,0.748119,5.966595
9.853841,-2.047692,28.368730
-4.510392,0.659290,-12.617430
3.715990,2.446688,18.643900
-0.065454,4.041553,8.715119
-4.276117,2.988601,-8.309131
2.732358,1.208912,9.453360
3.555289,2.209284,13.022040
2.564962,4.034037,12.549790
2.926812,-1.910671,2.506153
4.647195,-4.098666,6.700795
-4.097791,2.474809,-6.864127
0.788155,4.714896,12.745014
0.617047,4.134870,10.867502
6.493796,-0.181522,17.769750
6.129770,2.465594,22.797120
9.257866,-3.592430,21.428352
9.330004,3.601406,34.290833
9.345395,3.045876,28.608923
-2.684499,2.906820,0.231155
-0.904279,1.728284,0.960381
3.446816,0.845601,14.118394
-7.833078,-2.661781,-33.087980
-9.499507,3.842348,-24.930687
-5.572656,-4.367830,-27.125869
6.477107,4.093876,26.959174
-7.204460,4.462615,-10.748427
-3.912708,-0.073754,-8.462208
-7.286719,-0.463562,-20.391143
3.409724,2.431401,17.057671
4.845380,-3.454771,6.932465
-1.702309,-4.009784,-15.170214
9.030431,-4.672837,17.882617
-2.589401,-0.566169,-5.155267
-8.012908,1.856803,-21.527603
0.889317,4.778425,10.953122
-6.203829,-3.778403,-24.604749
6.960664,-0.452826,18.483239
1.942919,-4.786425,-6.189871
5.735892,-2.564311,13.892103
-8.627797,2.651574,-18.746022
-5.856853,-2.840486,-22.032027
-7.048916,4.005310,-14.439758
-9.943289,3.584061,-22.013203
-4.986916,-3.255029,-20.638088
3.221153,-4.742199,3.697026
-5.241368,-1.762285,-18.919244
-6.515076,-4.476010,-28.624376
4.913306,-0.237540,11.824003
5.560341,0.132380,18.779200
8.908313,-4.566350,19.090709
5.664540,3.669809,22.139598
9.280524,-4.391746,18.760613
-0.420362,-0.983827,-4.136141
8.194017,-4.265093,13.914670
-8.384190,1.082974,-21.517280
2.661534,0.483564,9.595065
-3.496291,4.946278,-2.755208
2.108536,-4.008215,-2.110487
4.035588,3.527927,17.166232
4.416798,-2.849769,4.769517
-0.968902,-2.715064,-9.502404
-1.680207,-4.049142,-11.274716
-1.464720,1.651079,-1.902369
8.459701,-4.328667,17.539284
6.635438,-4.067699,14.463135
6.235386,0.563707,21.702150
1.729302,0.615864,5.929628
-2.928038,1.653405,-4.581273
5.005685,3.680921,21.428264
2.008202,-1.483538,-2.112841
1.558370,-2.872612,-1.858316
-7.835632,3.453734,-17.786897
-2.648779,2.626056,-5.936959
6.903103,4.745466,28.571017
6.368537,1.135733,21.089077
8.581686,3.294608,31.973867
-4.651045,-3.195839,-20.848370
-3.203507,-4.938942,-21.132539
7.397254,0.663211,22.619923
2.663440,-4.693429,-0.750652
4.922235,-2.848671,7.469983
-2.598938,2.215960,-2.483435
5.536712,0.675936,18.528062
-6.851802,1.178382,-17.864085
3.479374,-2.278972,4.668216
-1.159116,-2.268332,-9.976189
5.098863,-3.861825,6.096427
3.569725,-0.133672,11.137603
3.342651,-4.545826,-1.203782
-9.846258,-1.985806,-31.856035
-5.775320,-3.627652,-24.643110
-9.845402,2.470141,-22.813339
-6.486104,-1.197926,-22.530249
6.667084,3.062002,23.868647
-8.558490,3.617644,-18.064801
8.423249,3.621100,32.614138
1.515183,0.733997,5.489948
-7.696533,-4.791434,-34.685405
-3.504636,3.013222,-7.271614
8.395395,-4.118701,14.395337
6.889687,-2.566835,13.468712
-2.084666,-1.897254,-11.339594
-3.209734,-1.669314,-11.791680
-7.719467,0.099521,-20.878168
8.118455,-1.506247,20.819101
6.300740,-2.637312,9.967343
-7.071116,-3.027282,-29.972098
3.110180,-3.228539,0.845784
5.456962,-0.058830,16.347583
-1.021895,4.241543,2.040430
1.289836,1.352983,3.740748
2.544348,-3.490426,-2.165549
-8.634275,-0.577919,-27.580900
-8.876558,0.073369,-24.967568
-3.791843,-0.480861,-8.800208
-8.465380,3.642500,-16.790071
7.105867,1.150084,21.390671
1.086327,2.918178,8.996371
7.917535,-0.502663,23.813662
-3.569465,-0.243710,-13.898315
-6.982778,-4.381263,-26.301414
-3.131244,2.143155,-2.513815
0.090980,-3.274411,-6.245456
-1.211564,0.227480,-1.033651
-6.825076,-1.271480,-23.438959
-3.232657,0.978859,-5.733429
5.784539,1.473054,21.115564
3.567587,-2.158530,6.744309
4.474673,1.565641,19.936740
-3.332759,0.827395,-10.600045
-7.171432,-1.501792,-21.484465
-2.160840,0.950412,-5.205982
8.760044,-1.904181,19.940610
6.263696,1.701164,24.671716
6.579179,2.387747,23.547771
2.920496,-0.765936,4.982998
-2.763438,-1.374023,-10.449179
8.953365,-0.137291,27.842978
-5.469139,-3.624346,-20.242633
-7.977185,2.708747,-16.715903
6.702397,3.836822,29.542551
5.326152,-3.689510,9.025287
-2.465603,-3.377528,-12.471912
6.180874,-3.344608,8.857835
-1.246532,-0.891414,-6.179859
-1.116026,-2.150721,-8.967592
4.970730,-0.510720,12.208755
6.172477,-0.309844,17.532731
6.702268,-1.321590,22.919112
-0.766400,-2.182283,-8.545772
-2.362551,0.274598,-2.935625
6.025184,-3.616015,10.068285
-4.999936,1.411790,-10.387734
-7.948205,3.458923,-18.735220
7.023321,-2.149370,16.902638
8.106124,-3.526513,15.674414
-1.250549,4.464133,5.559525
-3.008298,-4.733298,-16.334525
-8.934862,0.020071,-26.188441
-2.501747,-4.718125,-10.512707
8.616518,3.391763,30.551085
-7.248008,-2.131206,-28.870568
6.595232,1.960720,25.718853
-1.027971,-4.947488,-10.584356
-8.415485,-2.440761,-28.844036
4.544696,0.277715,12.017345
-7.776263,-2.118984,-27.764387
-1.603489,2.938991,1.661113
-0.857728,-3.891421,-8.125286
-9.671293,0.153757,-30.219365
-5.161237,-3.564232,-25.106226
-5.188715,-0.834324,-16.046581
3.287426,-4.143860,2.313834
0.521189,0.073277,1.591385
9.766630,0.541520,28.642008
2.713416,4.810394,19.192910
-4.926995,-4.837578,-24.015341
4.658820,1.282570,14.756035
5.430027,2.351870,20.695337
0.920275,3.135089,9.554161
-6.498217,2.791426,-16.919721
2.634717,3.114977,14.813941
-8.737989,2.761904,-22.298548
-9.123874,-3.005302,-32.944171
-9.161881,4.333710,-24.804187
0.860614,-2.466862,-2.932282
5.065818,-3.088966,6.849689
7.315966,-1.680753,21.313201
-7.510500,-1.319808,-22.636501
7.892750,-1.133552,19.300518
9.474472,-0.037968,23.803921
0.385517,3.011481,7.250221
4.541626,-4.210730,2.229580
0.909488,-1.787886,-3.078765
-8.398622,1.609192,-22.921871
-1.477679,1.897648,1.910016
-2.969060,-4.576448,-16.783153
9.963012,-2.254446,24.020993
9.600546,4.479044,40.298074
-2.733777,3.010960,-0.885232
